iter	Passed	Remaining
0	1	1705
1	5	2762
2	8	2798
3	11	2830
4	14	2786
5	16	2788
6	18	2686
7	21	2622
8	23	2585
9	25	2533
10	27	2490
11	30	2474
12	32	2444
13	34	2442
14	37	2488
15	40	2482
16	43	2515
17	45	2506
18	48	2509
19	51	2509
20	53	2514
21	57	2547
22	59	2545
23	62	2549
24	65	2561
25	68	2559
26	71	2561
27	73	2552
28	76	2547
29	78	2544
30	81	2542
31	84	2557
32	87	2549
33	89	2543
34	92	2536
35	95	2554
36	98	2553
37	100	2550
38	103	2543
39	106	2547
40	108	2539
41	110	2525
42	112	2511
43	115	2510
44	118	2510
45	120	2504
46	124	2528
47	127	2519
48	129	2515
49	131	2505
50	134	2496
51	136	2486
52	139	2483
53	141	2485
54	144	2478
55	146	2468
56	149	2465
57	151	2455
58	153	2443
59	155	2441
60	158	2447
61	161	2438
62	163	2430
63	165	2422
64	167	2416
65	170	2407
66	172	2400
67	174	2393
68	178	2410
69	181	2406
70	183	2402
71	185	2394
72	188	2387
73	190	2379
74	193	2388
75	196	2386
76	199	2385
77	202	2388
78	204	2381
79	206	2375
80	208	2369
81	210	2360
82	212	2353
83	215	2347
84	217	2344
85	219	2337
86	223	2341
87	225	2337
88	227	2330
89	229	2322
90	231	2313
91	233	2307
92	236	2304
93	238	2296
94	240	2289
95	242	2288
96	245	2284
97	247	2277
98	249	2270
99	251	2263
100	253	2256
101	255	2251
102	259	2258
103	261	2251
104	263	2245
105	265	2238
106	267	2230
107	269	2222
108	270	2213
109	272	2205
110	274	2198
111	276	2192
112	278	2186
113	280	2179
114	282	2175
115	284	2167
116	286	2161
117	288	2156
118	290	2150
119	292	2144
120	294	2141
121	297	2137
122	299	2132
123	301	2130
124	303	2124
125	305	2118
126	307	2115
127	310	2112
128	312	2107
129	314	2103
130	316	2099
131	318	2094
132	320	2089
133	323	2090
134	325	2085
135	327	2081
136	329	2078
137	331	2072
138	334	2073
139	337	2070
140	339	2069
141	341	2064
142	343	2060
143	346	2057
144	348	2056
145	351	2055
146	353	2052
147	355	2049
148	357	2043
149	360	2040
150	362	2035
151	364	2031
152	366	2026
153	368	2023
154	370	2020
155	372	2016
156	375	2013
157	377	2013
158	379	2008
159	381	2004
160	383	2000
161	385	1995
162	388	1993
163	390	1991
164	392	1987
165	395	1987
166	397	1983
167	399	1977
168	401	1973
169	403	1968
170	405	1964
171	407	1959
172	409	1957
173	411	1954
174	413	1950
175	415	1947
176	417	1943
177	419	1939
178	421	1935
179	423	1931
180	426	1928
181	430	1935
182	432	1931
183	434	1927
184	436	1923
185	438	1918
186	440	1915
187	442	1911
188	444	1907
189	446	1903
190	448	1900
191	451	1898
192	453	1894
193	455	1890
194	456	1886
195	458	1881
196	461	1880
197	464	1879
198	466	1875
199	468	1872
200	470	1868
201	472	1865
202	474	1862
203	476	1858
204	478	1855
205	481	1855
206	484	1854
